"ROOMID","SITEID","NAME","CATEGORY","TYPE","CLASSIFICATION","ROOMGRPCODE","ZONE","CAPACITY","PREFMIN","PREFMAX","DEPTID","ROOMAREA","DYNAFILL","SETID","UNIQUEFIELD","LINKCODE","CAMPUSID"
"118","X402","South Quad Pop Up Learning Hub 101","REC","CB","CR","","NN",25,,,"ESTDV_ADM",-1,"N","LIVE-17-18","","","X01"
"UCHCS2","UCHEC","UCH Ed Centre Clinical Skills 2","EXT","DB","CR","","NN",30,,,"ESTDV_ADM",-1,"N","LIVE-15-16","","","X06"
"UCHCS3","UCHEC","UCH Ed Centre Clinical Skills 3","EXT","DB","CR","","NN",30,,,"ESTDV_ADM",-1,"N","LIVE-16-17","","","X06"
"UCHCS3","UCHEC","UCH Ed Centre Clinical Skills 3","EXT","DB","CR","","NN",30,,,"ESTDV_ADM",-1,"N","LIVE-15-16","","","X06"
"GM07","013","Chadwick GM07","REC","DB","OF","","N",3,,,"CIVLG_ENG",-1,"N","LIVE-15-16","","CHADW_","X01"
"SMG","Senate","Senate House Montague Room","EXT","DB","CR","","N",20,,,"ESTDV_ADM",-1,"N","LIVE-15-16","","","X06"
"Z4","005","Wilkins Building (Main Building) Portico","REC","CB","SS","","YN",50,,,"ESTDV_ADM",0,"N","LIVE-16-17","","WILKN_","X01"
"412","045","Roberts Building 412","REC","DB","OF","","N",10,,,"MECHN_ENG",-1,"N","LIVE-16-17","","RBRTS_","X01"
"514","201","Rockefeller Building Imaging Facility, 5th Floor","CLU","DB","LA","","N",40,,,"BIOSC_LIF",-1,"N","LIVE-16-17","","ROCKF_","X01"
"90502","ULU","University of London Union Building 4th Floor - UCL Careers Service","EXT","DB","SS","","N",100,,,"ESTDV_ADM",-1,"N","LIVE-16-17","","","X06"
"G12","082","Gordon St (22) G.12","SNR","DB","CR","","N",114,,,"BSARC_BEN",24.2999992,"N","LIVE-16-17","","WATES_","X01"
"G10","082","Gordon St (22) G.10","SNR","DB","CR","","N",18,,,"BSARC_BEN",24.2999992,"N","LIVE-16-17","","WATES_","X01"
"GNBGSR","376","Whittington Hospital - Main Site - Bridges Seminar Room","WHH","WB","CR","","N",30,,,"EXWRBO",-1,"N","LIVE-16-17","","WHUGC_","X03"
"304","082","Gordon St (22) 3.04","SNR","DB","CR","","N",4,,,"BSARC_BEN",-1,"N","LIVE-16-17","","WATES_","X01"
"209","035","Gordon Square (16-18) 209","REC","DB","OF","","N",2,,,"SCAND_ART",-1,"N","LIVE-17-18","","GRDSQ16_","X01"
"314","082","Gordon St (22) 3.14","SNR","DB","CR","","N",4,,,"BSARC_BEN",-1,"N","LIVE-16-17","","WATES_","X01"
"B1","081","Taviton Street (3-4) B1","SNR","DB","CR","","NN",16,,,"SPACE_MAP",-1,"N","LIVE-16-17","","","X01"
"GNBGHSR","376","Whittington Hospital - Main Site - Horder Seminar Room","WHH","WB","CR","","N",30,,,"EXWRBO",-1,"N","LIVE-16-17","","WHUGC_","X03"
"GNBLT","376","Whittington Hospital - Main Site - Lecture Theatre","WHH","WB","LT","","N",150,,,"EXWRBO",-1,"N","LIVE-16-17","","WHUGC_","X03"
"210","202","Rayne Institute 210","CLU","DB","CR","","Y",40,,,"MEDCN_MDS",57.7000008,"N","LIVE-17-18","","RAYNE_","X01"
"411","202","Rayne Institute 411","CLU","DB","CR","","N",0,,,"MEDCN_MDS",-1,"N","LIVE-17-18","","RAYNE_",""
"310","201","Rockefeller Building 310","CLU","DB","CR","","YP",36,,,"CAN02_MDS",35.5999985,"N","LIVE-16-17","","ROCKF_","X01"
"213","131","School of Pharmacy 213 Pharmaceutics Teaching Lab","SNR","DB","LA","","N",50,,,"PHMCY_LIF",-1,"N","LIVE-15-16","","","X05"
"3814","411","Canary Wharf (1), Level 38, North East LT","","DB","LT","","NN",100,,,"MANSC_ENG",-1,"N","LIVE-16-17","","","X01"
"ICHI","240","ICH Wolfson Room I (1st Floor)","CHH","DB","PC1","","YN",20,,,"CHILD_PHS",-1,"N","LIVE-15-16","","","X05"
"215","131","School of Pharmacy 215 Pharmacology and Microbiology Teaching Lab","SNR","DB","LA","","N",50,,,"PHMCY_LIF",-1,"N","LIVE-15-16","","","X05"
"3817","411","Canary Wharf (1), Level 38, South East LT","","DB","LT","","NN",100,,,"MANSC_ENG",-1,"N","LIVE-16-17","","","X01"
"344","131","School of Pharmacy 344 Microbiology Lab","SNR","DB","LA","","N",20,,,"PHMCY_LIF",-1,"N","LIVE-15-16","","","X05"
"008","Senate","Senate House Dellar Hall","EXT","DB","CR","","N",130,,,"ESTDV_ADM",-1,"N","LIVE-17-18","","","X06"
"0129","232","Ashton 0129","INO","DB","LA","","",,,,"NEURO_BRN",0,"N","LIVE-17-18","","","X05"
"IN1","CONGCE","Congress Centre Invison 1","EXT","DB","LT","","N",60,,,"ESTDV_ADM",-1,"N","LIVE-17-18","","","X06"
"CR3","151","Aviation House CR3","","DB","MR","","",30,,,"IOCTM_PHS",-1,"N","LIVE-17-18","","",""
"PROOM","PCCC","Park Crescent Conference Centre Portland Room","EXT","DB","CR","","N",60,,,"BSPLN_BEN",-1,"N","LIVE-15-16","","","X06"
"IN2","CONGCE","Congress Centre Invison 2","EXT","DB","LT","","N",60,,,"ESTDV_ADM",-1,"N","LIVE-17-18","","","X06"
"G01A","242","Inst Neurology - Queen Square House G01A","NEU","DB","CR","","N",16,,,"NEURO_BRN",28.2000008,"N","LIVE-17-18","","ION","X05"
"ADM 4","162","IOE - Bedford Way (20) 877A - ADM Studio D","EXT","DB","LA","","",30,,,"ICIED_NFA",-1,"N","LIVE-17-18","","","X01"
"CR4","151","Aviation House CR4","","DB","MR","","",30,,,"IOCTM_PHS",-1,"N","LIVE-17-18","","",""
"THEAT","PCCC","Park Crescent Conference Centre Theatre","EXT","DB","CR","","N",120,,,"BSPLN_BEN",-1,"N","LIVE-15-16","","","X06"
"317","202","Rayne Institute 317","CLU","DB","CR","","Y",10,,,"MEDCN_MDS",14.3000002,"N","LIVE-17-18","","RAYNE_",""
"412","202","Rayne Institute 412","CLU","DB","CR","","N",0,,,"MEDCN_MDS",-1,"N","LIVE-17-18","","RAYNE_",""
"G12","242","Inst Neurology - Queen Square House G12","NEU","DB","CR","","N",70,,,"NEURO_BRN",90.4000015,"N","LIVE-17-18","","ION","X05"
"G13","242","Inst Neurology - Queen Square House G13","NEU","DB","MR","","N",,,,"NEURO_BRN",14.1000004,"N","LIVE-17-18","","ION","X05"
"BOARD","PCCC","Park Crescent Conference Centre Board Room","EXT","DB","MR","","N",24,,,"BSPLN_BEN",-1,"N","LIVE-15-16","","","X06"
"17212","242","Inst Neurology - Queen Square Housae Foyer Meeting Room 1","SNR","DB","CR","","N",30,,,"NEURO_BRN",-1,"N","LIVE-17-18","","ION","X05"
"CR5","151","Aviation House CR5","","DB","MR","","",45,,,"IOCTM_PHS",-1,"N","LIVE-17-18","","",""
"UCHCS2","UCHEC","UCH Ed Centre Clinical Skills 2","EXT","DB","CR","","NN",30,,,"ESTDV_ADM",-1,"N","LIVE-16-17","","","X06"
"CRA","151","Aviation House CRA","","DB","MR","","",20,,,"IOCTM_PHS",-1,"N","LIVE-17-18","","",""
"CRB","151","Aviation House CRB","","DB","MR","","",60,,,"IOCTM_PHS",-1,"N","LIVE-17-18","","",""
"SS","HH","Hilton Hotel - Stephenson Suite","EXT","DB","LT","","N",110,,,"BSCPM_BEN",-1,"N","LIVE-17-18","","SS","X06"
"MRC 401","151","Aviation House MRC 401","","DB","MR","","",30,,,"IOCTM_PHS",-1,"N","LIVE-17-18","","",""
"116","235","Chandler 116","MEI","DB","CR","","YA",16,,,"PSYLA_BRN",-1,"N","LIVE-15-16","","CHAND_","X01"
"201","235","Chandler 201","MEI","DB","CR","","YA",12,,,"PSYLA_BRN",-1,"N","LIVE-15-16","","CHAND_","X01"
"301","235","Chandler 301","MEI","DB","MR","","YA",8,,,"PSYLA_BRN",-1,"N","LIVE-15-16","","CHAND_","X01"
"G04","235","Chandler G04","MEI","DB","CR","","YA",6,,,"PSYLA_BRN",-1,"N","LIVE-15-16","","CHAND_","X01"
"G01","235","Chandler G01 - Public Cluster","MEI","DB","PC1","","N",13,8,13,"ESTDV_ADM",-1,"N","LIVE-15-16","","CHAND_","X01"
"G03","235","Chandler G03","MEI","DB","CR","","YA",8,,,"PSYLA_BRN",-1,"N","LIVE-15-16","","CHAND_","X01"
"G05","235","Chandler G05","MEI","DB","CR","","YA",8,,,"PSYLA_BRN",-1,"N","LIVE-15-16","","CHAND_","X01"
